iter	RMSE
438	32009.19773
439	31978.01924
440	31964.49054
441	31945.33435
442	31917.19863
443	31889.9195
444	31860.34868
445	31824.53466
446	31803.19575
447	31790.87458
448	31766.43938
449	31759.23895
450	31745.22975
451	31729.08685
452	31720.74938
453	31696.08227
454	31688.3171
455	31669.68746
456	31660.41896
457	31648.3823
458	31630.61377
459	31617.13423
460	31604.56595
461	31594.41886
462	31580.98473
463	31551.83755
464	31525.03163
465	31481.67668
466	31459.1713
467	31450.29494
468	31440.33611
469	31412.21985
470	31387.45181
471	31378.43164
472	31363.93438
473	31357.64058
474	31343.47844
475	31336.04713
476	31323.31472
477	31298.05029
478	31291.63159
479	31268.17507
480	31252.59714
481	31246.28764
482	31224.99262
483	31212.55404
484	31182.15753
485	31164.39986
486	31142.08119
487	31133.95531
488	31120.17493
489	31105.59567
490	31090.19926
491	31078.81549
492	31055.26597
493	31004.0004
494	30996.88637
495	30987.34318
496	30975.49674
497	30953.95944
498	30943.03403
499	30933.01223
500	30918.58897
501	30889.01917
502	30883.80357
503	30872.12826
504	30865.42848
505	30853.92343
506	30850.97865
507	30830.47108
508	30809.76439
509	30801.61853
510	30790.91101
511	30769.8343
512	30736.88079
513	30730.65393
514	30723.72689
515	30719.32229
516	30686.76532
517	30675.38887
518	30670.55223
519	30660.26679
520	30655.72253
521	30646.76786
522	30639.90235
523	30616.41859
524	30610.36132
525	30604.50824
526	30592.90793
527	30572.86484
528	30553.55569
529	30548.0312
530	30510.97653
531	30486.49452
532	30482.11585
533	30475.22181
534	30445.42706
535	30434.98154
536	30425.67656
537	30421.47613
538	30415.5644
539	30406.66496
540	30400.08638
541	30387.70272
542	30381.95839
543	30368.24479
544	30347.53377
545	30342.45478
546	30331.91213
547	30326.63873
548	30313.11188
549	30295.6959
550	30285.42154
551	30280.07087
552	30276.26565
553	30265.25517
554	30259.87987
555	30251.46661
556	30240.91209
557	30226.62098
558	30215.36648
559	30203.83732
560	30191.78311
561	30173.94484
562	30164.89669
563	30146.67471
564	30130.06604
565	30109.47406
566	30106.12736
567	30099.05019
568	30089.24005
569	30084.44305
570	30065.2649
571	30054.51445
572	30036.39121
573	30022.29425
574	30006.13886
575	29990.49766
576	29979.52444
577	29975.8775
578	29949.7977
579	29945.58438
580	29932.61159
581	29916.50986
582	29912.5221
583	29902.99162
584	29879.97049
585	29866.67717
586	29855.52736
587	29840.18952
588	29836.02572
589	29816.55059
590	29805.73782
591	29789.847
592	29785.56894
593	29766.4737
594	29757.97614
595	29742.33302
596	29731.5564
597	29721.60375
598	29712.94555
599	29700.96198
600	29692.85448
601	29673.83554
602	29656.82426
603	29642.2226
604	29630.60625
605	29613.1393
606	29597.17802
607	29579.60232
608	29569.77931
609	29545.70071
610	29538.4623
611	29519.32067
612	29516.76442
613	29499.9328
614	29491.4711
615	29486.95224
616	29457.96939
617	29457.10795
618	29439.44323
619	29438.5773
620	29437.86492
621	29426.63229
622	29423.84484
623	29412.12365
624	29389.63235
625	29380.56952
626	29371.76972
627	29366.86063
628	29364.94302
629	29359.53926
630	29346.87329
631	29334.43198
632	29317.74669
633	29309.66311
634	29297.60635
635	29295.18112
636	29293.3891
637	29284.63971
638	29281.1159
639	29256.23003
640	29246.96682
641	29228.14529
642	29211.57381
643	29210.36632
644	29209.62544
645	29186.19886
646	29175.13241
647	29154.07978
648	29145.92041
649	29136.78988
650	29120.93015
651	29112.78785
652	29099.51839
653	29091.06708
654	29082.00503
655	29067.33764
656	29063.75882
657	29063.36591
658	29056.25529
659	29044.06104
660	29040.25403
661	29037.12099
662	29031.51558
663	29019.20027
664	28992.71853
665	28978.78599
666	28972.71984
667	28964.51091
668	28957.6628
669	28941.32613
670	28933.71813
671	28928.0489
672	28927.62134
673	28920.66702
674	28913.4145
675	28901.55215
676	28889.69176
677	28887.52304
678	28886.00518
679	28877.82181
680	28875.12352
681	28858.69303
682	28846.52121
683	28839.62665
684	28830.5074
685	28823.16828
686	28821.7464
687	28813.89417
688	28781.6927
689	28779.61523
690	28756.15323
691	28741.12292
692	28734.49528
693	28732.34203
694	28719.01139
695	28709.64787
696	28691.00361
697	28681.34931
698	28680.81422
699	28658.85393
700	28637.40654
701	28627.8474
702	28620.41853
703	28611.41345
704	28606.83722
705	28582.86206
706	28565.86268
707	28552.66691
708	28538.79778
709	28523.55076
710	28516.96082
711	28511.87629
712	28496.40131
713	28487.89776
714	28481.17792
715	28478.84636
716	28470.54271
717	28468.34979
718	28457.94252
719	28448.14891
720	28434.41531
721	28421.56215
722	28402.38579
723	28398.93053
724	28368.39922
725	28356.90756
726	28349.89844
727	28331.36476
728	28325.47019
729	28322.39452
730	28300.56282
731	28280.99432
732	28270.90487
733	28263.72219
734	28256.82515
735	28251.78098
736	28228.28235
737	28223.6383
738	28202.37704
739	28188.02187
740	28184.73553
741	28184.2023
742	28170.51373
743	28160.37287
744	28153.86132
745	28147.03841
746	28138.1108
747	28135.05063
748	28132.34306
749	28128.61821
750	28119.23034
751	28107.30487
752	28081.8476
753	28077.35428
754	28065.90564
755	28062.78459
756	28050.18983
757	28038.88309
758	28038.51145
759	28017.4853
760	28011.78214
761	27997.47883
762	27993.37207
763	27983.0373
764	27979.1267
765	27959.00235
766	27950.32077
767	27944.37259
768	27933.69948
769	27930.2241
770	27913.1212
771	27907.8776
772	27895.71263
773	27889.86245
774	27882.79522
775	27863.59705
776	27861.26445
777	27860.89499
778	27850.89048
779	27843.06052
780	27837.25695
781	27832.56625
782	27824.27038
783	27814.56975
784	27805.14126
785	27788.48528
786	27785.42972
787	27777.48222
788	27763.26886
789	27756.41269
790	27744.07238
791	27742.94214
792	27726.96329
793	27721.45889
794	27704.2566
795	27702.47695
796	27696.64344
797	27693.03202
798	27686.08825
799	27673.50166
800	27668.24803
801	27652.40876
802	27644.21369
803	27639.24235
804	27635.15964
805	27632.42543
806	27620.57089
807	27620.26956
808	27619.79238
809	27608.44435
810	27596.42684
811	27595.22331
812	27582.68851
813	27574.67117
814	27565.7254
815	27555.33883
816	27550.25778
817	27535.60679
818	27535.22257
819	27532.01682
820	27527.00143
821	27519.55579
822	27516.68341
823	27507.42954
824	27502.24345
825	27496.40185
826	27492.55542
827	27485.18832
828	27478.58052
829	27472.91895
830	27458.93506
831	27448.32084
832	27443.76106
833	27437.20317
834	27426.09012
835	27412.71407
836	27405.51065
837	27400.7044
838	27390.88615
839	27385.92841
840	27361.31797
841	27353.12702
842	27348.97046
843	27343.02323
844	27336.39669
845	27335.57201
846	27335.12315
847	27325.6705
848	27318.71779
849	27314.04315
850	27309.02168
851	27302.15695
852	27295.48627
853	27293.47293
854	27287.77639
855	27283.76383
856	27277.36692
857	27272.78546
858	27262.03317
859	27249.79179
860	27244.75927
861	27241.52716
862	27231.10213
863	27225.94736
864	27215.96073
865	27213.59719
866	27197.16249
867	27191.86538
868	27187.45447
869	27182.35417
870	27173.43013
871	27169.17102
872	27158.5
873	27152.04298
874	27140.64324
875	27138.05947
876	27136.26775
877	27114.46271
878	27112.21934
879	27105.94095
880	27102.01283
881	27096.16612
882	27091.49707
883	27078.28913
884	27074.59912
885	27066.15634
886	27061.4621
887	27055.41519
888	27046.19142
889	27035.17038
890	27028.04799
891	27019.1758
892	27018.89557
893	27018.74059
894	27016.21502
895	27010.37804
896	27007.64474
897	27002.85382
898	26993.21755
899	26987.01942
900	26975.7955
901	26971.22281
902	26968.16031
903	26965.59392
904	26945.83054
905	26939.0847
906	26937.43023
907	26936.77712
908	26935.92056
909	26928.50542
910	26924.52785
911	26916.98027
912	26908.79515
913	26900.751
914	26897.01415
915	26892.60574
916	26885.07794
917	26882.63698
918	26874.91164
919	26860.5929
920	26854.19841
921	26849.70437
922	26847.38905
923	26838.74404
924	26834.61382
925	26826.36643
926	26819.0474
927	26815.18167
928	26813.44254
929	26809.38641
930	26804.39276
931	26795.49988
932	26790.90082
933	26785.90781
934	26779.23836
935	26773.89175
936	26765.3615
937	26765.00595
938	26754.21778
939	26750.45093
940	26746.622
941	26739.87833
942	26737.31976
943	26732.62218
944	26731.35455
945	26727.29061
946	26722.41875
947	26717.46242
948	26712.35564
949	26708.858
950	26704.36772
951	26699.59347
952	26694.82427
953	26693.87894
954	26681.80849
955	26674.83937
956	26672.69615
957	26667.21729
958	26661.80357
959	26659.78488
960	26652.53104
961	26644.42837
962	26624.73924
963	26621.33471
964	26618.75631
965	26610.99439
966	26606.28138
967	26602.75309
968	26598.40365
969	26593.83314
970	26591.69433
971	26587.09673
972	26586.02359
973	26581.58688
974	26575.53784
975	26574.06374
976	26568.30724
977	26565.01842
978	26561.25137
979	26558.96256
980	26555.177
981	26547.95723
982	26543.10898
983	26530.68045
984	26530.52095
985	26525.57462
986	26522.0828
987	26519.97245
988	26516.66877
989	26512.9151
990	26501.80666
991	26494.34361
992	26484.53546
993	26478.66377
994	26473.31156
995	26458.93558
996	26452.0266
997	26444.03304
998	26441.47936
999	26438.73079
